2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0, nil, 0 us, 8388697, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56586, ltptest, OpMetaCreateDentry, mdtest_tree.1, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1, nil, 0 us, 4194394, 8388697
2023-09-27 18:44:37 CST, 172.16.1.101:56592, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.21, nil, 0 us, 8388698, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.26, nil, 0 us, 8388699, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56568, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7, nil, 0 us, 8388700, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56592, ltptest, OpMetaCreateDentry, mdtest_tree.29, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29, nil, 0 us, 89, 8388700
2023-09-27 18:44:37 CST, 172.16.1.101:56570, ltptest, OpMetaCreateDentry, mdtest_tree.30, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30, nil, 0 us, 4194402, 8388700
2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.31, nil, 0 us, 8388701, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56568, ltptest, OpMetaCreateDentry, mdtest_tree.31, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.31, nil, 0 us, 8388701, 8388700
2023-09-27 18:44:37 CST, 172.16.1.101:56592, ltptest, OpMetaCreateDentry, mdtest_tree.32, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32, nil, 0 us, 90, 8388700
2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.34, nil, 0 us, 8388702, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56586, ltptest, OpMetaCreateDentry, mdtest_tree.2, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2, nil, 0 us, 4194407, 8388697
2023-09-27 18:44:37 CST, 172.16.1.101:56592, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.37, nil, 0 us, 8388703, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.38, nil, 0 us, 8388704, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56568, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40, nil, 0 us, 8388705, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56570, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.12/mdtest_tree.49, nil, 0 us, 8388706, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56586, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.12/mdtest_tree.52, nil, 0 us, 8388707, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56568, ltptest, OpMetaCreateDentry, mdtest_tree.3, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3, nil, 0 us, 97, 8388697
2023-09-27 18:44:37 CST, 172.16.1.101:56570, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.13/mdtest_tree.53, nil, 0 us, 8388708, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56586, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.13/mdtest_tree.54, nil, 0 us, 8388709, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56592, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.13/mdtest_tree.56, nil, 0 us, 8388710, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.14/mdtest_tree.57, nil, 0 us, 8388711, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56568, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.14/mdtest_tree.58, nil, 0 us, 8388712, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56570, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.15, nil, 0 us, 8388713, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateDentry, mdtest_tree.61, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.15/mdtest_tree.61, nil, 0 us, 4194421, 8388713
2023-09-27 18:44:37 CST, 172.16.1.101:56586, ltptest, OpMetaCreateDentry, mdtest_tree.62, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.15/mdtest_tree.62, nil, 0 us, 4194422, 8388713
2023-09-27 18:44:37 CST, 172.16.1.101:56568, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.15/mdtest_tree.63, nil, 0 us, 8388714, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56570, ltptest, OpMetaCreateDentry, mdtest_tree.63, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.15/mdtest_tree.63, nil, 0 us, 8388714, 8388713
2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateDentry, mdtest_tree.64, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.15/mdtest_tree.64, nil, 0 us, 99, 8388713
2023-09-27 18:44:37 CST, 172.16.1.101:56568, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.16/mdtest_tree.65, nil, 0 us, 8388715, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56592, ltptest, OpMetaCreateDentry, mdtest_tree.4, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4, nil, 0 us, 101, 8388697
2023-09-27 18:44:37 CST, 172.16.1.101:56556, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4/mdtest_tree.17/mdtest_tree.72, nil, 0 us, 8388716, 0
2023-09-27 18:44:37 CST, 172.16.1.101:56568, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4/mdtest_tree.18/mdtest_tree.74, nil, 0 us, 8388717, 0
