2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0, nil, 0 us, 669, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, test-dir.0-0, /out/test-dir.0-0, nil, 0 us, 669, 4194307
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0, nil, 0 us, 4195013, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.0, /out/test-dir.0-0/mdtest_tree.0, nil, 0 us, 4195013, 669
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.1, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1, nil, 0 us, 8389282, 4195013
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5, nil, 0 us, 670, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.21, nil, 0 us, 4195014, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.21, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.21, nil, 0 us, 4195014, 670
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.22, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.22, nil, 0 us, 8389283, 670
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.23, nil, 0 us, 671, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.23, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.23, nil, 0 us, 671, 670
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.24, nil, 0 us, 4195015, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.24, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.24, nil, 0 us, 4195015, 670
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.25, nil, 0 us, 672, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.26, nil, 0 us, 4195016, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.28, nil, 0 us, 673, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7, nil, 0 us, 4195017, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.29, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29, nil, 0 us, 8389286, 4195017
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30, nil, 0 us, 674, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.30, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.30, nil, 0 us, 674, 4195017
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.31, nil, 0 us, 4195018, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.31, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.31, nil, 0 us, 4195018, 4195017
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.32, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32, nil, 0 us, 8389287, 4195017
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8, nil, 0 us, 675, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.33, nil, 0 us, 4195019, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.33, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.33, nil, 0 us, 4195019, 675
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.34, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.34, nil, 0 us, 8389288, 675
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.35, nil, 0 us, 676, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.35, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.35, nil, 0 us, 676, 675
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.36, nil, 0 us, 4195020, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.36, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.36, nil, 0 us, 4195020, 675
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.2, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2, nil, 0 us, 8389289, 4195013
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9, nil, 0 us, 677, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.37, nil, 0 us, 4195021, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.37, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.37, nil, 0 us, 4195021, 677
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.38, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.38, nil, 0 us, 8389290, 677
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.39, nil, 0 us, 678, 0
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateDentry, mdtest_tree.39, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.39, nil, 0 us, 678, 677
2023-09-27 19:26:18 CST, 172.16.1.103:46824, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.40, nil, 0 us, 4195022, 0
