2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1, nil, 0 us, 8389877, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39408, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.22, nil, 0 us, 8389878, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6, nil, 0 us, 8389879, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.6/mdtest_tree.27, nil, 0 us, 8389880, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.29, nil, 0 us, 8389881, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.7/mdtest_tree.32, nil, 0 us, 8389882, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.8/mdtest_tree.34, nil, 0 us, 8389883, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2, nil, 0 us, 8389884, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.9/mdtest_tree.38, nil, 0 us, 8389885, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39398, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.10, nil, 0 us, 8389886, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39398, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.10/mdtest_tree.43, nil, 0 us, 8389887, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.45, nil, 0 us, 8389888, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.11/mdtest_tree.48, nil, 0 us, 8389889, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.2/mdtest_tree.12/mdtest_tree.50, nil, 0 us, 8389890, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3, nil, 0 us, 8389891, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.13/mdtest_tree.54, nil, 0 us, 8389892, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39408, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.14, nil, 0 us, 8389893, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39408, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.14/mdtest_tree.59, nil, 0 us, 8389894, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.15/mdtest_tree.61, nil, 0 us, 8389895, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39398, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.15/mdtest_tree.64, nil, 0 us, 8389896, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.3/mdtest_tree.16/mdtest_tree.66, nil, 0 us, 8389897, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39398, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4, nil, 0 us, 8389898, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4/mdtest_tree.17/mdtest_tree.70, nil, 0 us, 8389899, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4/mdtest_tree.18, nil, 0 us, 8389900, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4/mdtest_tree.18/mdtest_tree.75, nil, 0 us, 8389901, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39398, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4/mdtest_tree.19/mdtest_tree.77, nil, 0 us, 8389902, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39408, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4/mdtest_tree.19/mdtest_tree.80, nil, 0 us, 8389903, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39398, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.4/mdtest_tree.20/mdtest_tree.82, nil, 0 us, 8389904, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39408, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/dir.mdtest.0.0, nil, 0 us, 8389905, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/dir.mdtest.0.3, nil, 0 us, 8389906, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/dir.mdtest.0.6, nil, 0 us, 8389907, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/dir.mdtest.0.9, nil, 0 us, 8389908, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/dir.mdtest.0.12, nil, 0 us, 8389909, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/dir.mdtest.0.15, nil, 0 us, 8389910, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/dir.mdtest.0.18, nil, 0 us, 8389911, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/dir.mdtest.0.51, nil, 0 us, 8389912, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/dir.mdtest.0.54, nil, 0 us, 8389913, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39398, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/dir.mdtest.0.57, nil, 0 us, 8389914, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39408, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.21/dir.mdtest.0.210, nil, 0 us, 8389915, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.21/dir.mdtest.0.213, nil, 0 us, 8389916, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.21/dir.mdtest.0.216, nil, 0 us, 8389917, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.21/dir.mdtest.0.219, nil, 0 us, 8389918, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.22/dir.mdtest.0.222, nil, 0 us, 8389919, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.22/dir.mdtest.0.225, nil, 0 us, 8389920, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.22/dir.mdtest.0.228, nil, 0 us, 8389921, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.23/dir.mdtest.0.231, nil, 0 us, 8389922, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39386, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.23/dir.mdtest.0.234, nil, 0 us, 8389923, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39398, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.23/dir.mdtest.0.237, nil, 0 us, 8389924, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39408, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.24/dir.mdtest.0.240, nil, 0 us, 8389925, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39372, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.24/dir.mdtest.0.243, nil, 0 us, 8389926, 0
2023-09-27 19:54:02 CST, 172.16.1.101:39376, ltptest, OpMetaCreateInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/mdtest_tree.24/dir.mdtest.0.246, nil, 0 us, 8389927, 0
