2023-09-27 20:36:23 CST, 172.16.1.101:44274, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/dir.mdtest.0.3, nil, 0 us, 8391078, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44250, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/dir.mdtest.0.6, nil, 0 us, 8391079, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44268, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/dir.mdtest.0.9, nil, 0 us, 8391080, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44286, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/dir.mdtest.0.12, nil, 0 us, 8391081, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44252, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/dir.mdtest.0.14, nil, 0 us, 8391082, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44274, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/dir.mdtest.0.15, nil, 0 us, 8391083, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44250, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/dir.mdtest.0.18, nil, 0 us, 8391084, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44252, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/dir.mdtest.0.51, nil, 0 us, 8391085, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44268, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/dir.mdtest.0.53, nil, 0 us, 8391086, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44252, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/dir.mdtest.0.54, nil, 0 us, 8391087, 0
2023-09-27 20:36:23 CST, 172.16.1.101:44286, ltptest, OpMetaUnlinkInode, nil, /out/test-dir.0-0/mdtest_tree.0/mdtest_tree.1/mdtest_tree.5/dir.mdtest.0.57, nil, 0 us, 8391088, 0
